AccusedRef,FirstName,LastName,Alias,DesTitle,Sex,Res_settlement,Res_parish,Res_presbytery,Res_county,MaritalStatus,Occupation,Notes
A/EGD/1089,James,Frame,,,Male,,P/ST/1169,Lanark,Lanark,,,
A/EGD/109,Bessie,Thompson,,,Female,,,,Haddington,Single,,
A/EGD/1090,Margaret,Wilson,,,Female,,P/ST/1169,Lanark,Lanark,Married,,
A/EGD/1091,Margaret,Hutchesoun,,,Female,Kirkbanke,,,Lanark,Married,,
A/EGD/1092,Janet,Weir,,,Female,Baruch,,,Lanark,Married,,
A/EGD/1093,Marion,Schailer,,,Female,Law,,,Lanark,,,
A/EGD/1094,Jonet,Scot,,,Female,wicketshaw,,,Lanark,,,
A/EGD/1095,Margaret,Semphill,,,Female,Strafranke,,,Lanark,,,
A/EGD/1096,Janet,Clerksoun,,,Female,cauldlaw,,,Lanark,,,
A/EGD/1097,John,Greinscheills,,,Male,Dundraven,,,Lanark,,,
A/EGD/1098,Margrat,Fischer,,,Female,Stanebyres mylne,,,Lanark,,,"She lives at the Mill, so we thinks she was a miller's wife."
A/EGD/1099,Beatrix,Crichtoun,,,Female,Kirktown,P/ST/716,Lanark,Lanark,,,
A/EGD/11,Margaret,Bartilman,,,Female,Sammuelston,P/JO/3539,Haddington,Haddington,,,
A/EGD/110,Robert,Grierson,Rob the Rowar,,Male,Prestonpans,P/ST/1359,Haddington,Haddington,,,also known as Robert the comptroller
A/EGD/1100,Isobel,Quhyte,,,Female,Auchuren,,,Lanark,Married,,
A/EGD/1101,Agnes,Adam,,,Female,Cleghorne,,,Lanark,,,
A/EGD/1102,Helene,Simsoun,,,Female,Craignuik,,,Lanark,,,
A/EGD/1103,Janet,Pursell,,,Female,,,Dalkeith,Edinburgh,,,Few details.
A/EGD/1104,Janet,Scherar,,,Female,,,Dalkeith,Edinburgh,,,Also recorded as Scheirer. Few other details.
A/EGD/1105,Janet,Hill,,,Female,Preston,,Dalkeith,Edinburgh,,,Few details.
A/EGD/1106,Helen,Scott,,,Female,,P/ST/1232,Selkirk,Roxburgh,,,
A/EGD/1107,Helene,Gastoun,,,Female,Lassudden,,,Roxburgh,,,
A/EGD/1108,Margaret,Patersoun,,,Female,Langnewtoun,,,Roxburgh,,,
A/EGD/1109,Margaret,Strudgeoun,,,Female,,,,Lanark,,Vagabond,
A/EGD/1110,Bessie,Carfa,,,Female,,,,Haddington,,,
A/EGD/1111,Thomas,Carfra,,,Male,,,,Haddington,,,
A/EGD/1112,Alison,Borthuick,,,Female,,,,Haddington,Married,,
A/EGD/1113,John,Carfa,,,Male,,,,Haddington,Married,,
A/EGD/1114,Beigs,Wallace,,,Female,Preston,P/ST/1359,Haddington,Haddington,,,She denounced her daughter
A/EGD/1115,Margaret,Mathesoun,,,Female,,P/ST/1359,Haddington,Haddington,,,Described as having been burnt at Preston
A/EGD/1116,Christian,Thomesoun,,,Female,,P/ST/1334,Dalkeith,Edinburgh,,,Few details.
A/EGD/1117,Margaret,Small,,,Female,,P/ST/1334,Dalkeith,Edinburgh,,,Few details.
A/EGD/1118,Isabel,Dryburgh,,,Female,,P/ST/1334,Dalkeith,Edinburgh,,,Few details.
A/EGD/1119,Bessie,Aitkine,,,Female,Swintounhill,,,Berwick,Married,,
A/EGD/112,Katherine,Muirhead,,,Female,,,,,,,
A/EGD/1120,David,Nisbett,,,Male,,P/ST/606,Chirnside,Berwick,,,
A/EGD/1121,Janet,Liddel,,,Female,,P/ST/804,Chirnside,Berwick,,,
